Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS
2016-17,NBA,Warriors,52,11,.825,1,11.51,100.5,4.1,116.1,7.5,104.2,-4.4,,S. Kerr (52-11),K. Durant (11.4)
2015-16,NBA,Warriors,73,9,.890,1,10.38,99.3,3.5,114.5,8.1,103.8,-2.6,Lost Finals,S. Kerr (73-9),S. Curry (17.9)
2014-15,NBA,Warriors,67,15,.817,1,10.01,98.3,4.4,111.6,6.0,101.4,-4.2,Won Finals,S. Kerr (67-15),S. Curry (15.7)
2013-14,NBA,Warriors,51,31,.622,2,5.15,96.2,2.3,107.5,0.8,102.6,-4.1,Lost W. Conf. 1st Rnd.,M. Jackson (51-31),S. Curry (13.4)
2012-13,NBA,Warriors,47,35,.573,2,1.32,94.5,2.5,106.4,0.5,105.5,-0.4,Lost W. Conf. Semis,M. Jackson (47-35),S. Curry (11.2)
2011-12,NBA,Warriors,23,43,.348,4,-2.79,92.3,1.0,105.4,0.8,109.1,4.5,,M. Jackson (23-43),D. Lee (5.0)
2010-11,NBA,Warriors,36,46,.439,3,-2.00,94.8,2.7,108.2,0.9,110.7,3.4,,K. Smart (36-46),S. Curry (6.6)
2009-10,NBA,Warriors,26,56,.317,4,-3.28,100.4,7.7,108.1,0.5,111.7,4.1,,D. Nelson (26-56),C. Maggette (6.3)
2008-09,NBA,Warriors,29,53,.354,3,-3.80,98.2,6.5,109.5,1.2,113.3,5.0,,D. Nelson (29-53),A. Biedrins (5.4)
2007-08,NBA,Warriors,48,34,.585,3,2.38,98.8,6.4,111.8,4.3,109.5,2.0,,D. Nelson (48-34),M. Ellis (9.0)
2006-07,NBA,Warriors,42,40,.512,3,0.00,99.2,7.3,107.0,0.5,107.4,0.9,Lost W. Conf. Semis,D. Nelson (42-40),A. Biedrins (6.7)
2005-06,NBA,Warriors,34,48,.415,5,-1.11,93.3,2.8,104.8,-1.4,106.2,0.0,,M. Montgomery (34-48),J. Richardson (7.3)
2004-05,NBA,Warriors,34,48,.415,5,-1.74,93.3,2.4,104.7,-1.4,106.9,0.8,,M. Montgomery (34-48),J. Richardson (5.7)
2003-04,NBA,Warriors,37,45,.451,4,-0.07,89.8,-0.3,103.0,0.1,103.8,0.9,,E. Musselman (37-45),E. Dampier (8.9)
2002-03,NBA,Warriors,38,44,.463,6,-0.60,94.2,3.2,108.3,4.7,109.5,5.9,,E. Musselman (38-44),A. Jamison (8.5)
2001-02,NBA,Warriors,21,61,.256,7,-4.80,94.5,3.8,102.8,-1.7,108.5,4.0,,D. Cowens (8-15) B. Winters (13-46),A. Jamison (6.4)
2000-01,NBA,Warriors,17,65,.207,7,-8.11,94.1,2.8,97.8,-5.2,107.4,4.4,,D. Cowens (17-65),A. Jamison (6.7)
1999-00,NBA,Warriors,19,63,.232,6,-7.63,95.4,2.3,99.8,-4.3,108.4,4.3,,P. Carlesimo (6-21) G. St. Jean (13-42),D. Marshall (3.8)
1998-99,NBA,Warriors,21,29,.420,6,-2.63,88.9,0.0,98.4,-3.8,101.1,-1.1,,P. Carlesimo (21-29),D. Marshall (3.0)
1997-98,NBA,Warriors,19,63,.232,6,-9.20,91.4,1.1,95.8,-9.2,105.7,0.7,,P. Carlesimo (19-63),D. Marshall (4.2)
1996-97,NBA,Warriors,30,52,.366,7,-4.90,91.9,1.8,107.2,0.5,112.2,5.5,,R. Adelman (30-52),L. Sprewell (8.1)
1995-96,NBA,Warriors,36,46,.439,6,-1.42,93.4,1.6,108.4,0.8,109.9,2.3,,R. Adelman (36-46),B. Armstrong (7.0)
1994-95,NBA,Warriors,26,56,.317,6,-4.90,97.9,5.0,106.7,-1.6,112.2,3.9,,D. Nelson (14-31) B. Lanier (12-25),T. Hardaway (5.1)
1993-94,NBA,Warriors,50,32,.610,3,1.76,99.1,4.0,108.3,2.0,106.5,0.2,Lost W. Conf. 1st Rnd.,D. Nelson (50-32),L. Sprewell (8.0)
1992-93,NBA,Warriors,34,48,.415,6,-0.94,99.5,2.7,109.2,1.2,110.2,2.2,,D. Nelson (34-48),T. Hardaway (7.5)
1991-92,NBA,Warriors,55,27,.671,2,3.77,103.4,6.8,113.6,5.4,109.9,1.7,Lost W. Conf. 1st Rnd.,D. Nelson (55-27),C. Mullin (10.8)
1990-91,NBA,Warriors,44,38,.537,4,1.72,103.6,5.8,111.9,4.0,110.3,2.4,Lost W. Conf. Semis,D. Nelson (44-38),C. Mullin (12.2)
1989-90,NBA,Warriors,37,45,.451,5,-2.55,105.9,7.6,109.6,1.5,112.6,4.5,,D. Nelson (37-45),C. Mullin (10.2)
1988-89,NBA,Warriors,43,39,.524,4,-0.59,107.3,6.7,107.4,-0.4,107.7,-0.1,Lost W. Conf. Semis,D. Nelson (43-39),C. Mullin (10.6)
1987-88,NBA,Warriors,20,62,.244,5,-8.38,101.6,2.0,104.7,-3.3,112.9,4.9,,G. Karl (16-48) E. Gregory (4-14),R. Higgins (5.7)
1986-87,NBA,Warriors,42,40,.512,3,-2.54,101.7,0.9,108.9,0.6,111.2,2.9,Lost W. Conf. Semis,G. Karl (42-40),S. Floyd (10.0)
1985-86,NBA,Warriors,30,52,.366,6,-3.59,104.2,2.1,108.3,1.1,111.6,4.4,,J. Bach (30-52),S. Floyd (7.5)
1984-85,NBA,Warriors,22,60,.268,6,-7.21,103.2,1.1,106.0,-1.9,113.0,5.1,,J. Bach (22-60),P. Short (6.2)
1983-84,NBA,Warriors,37,45,.451,5,-3.35,103.3,1.9,105.5,-2.1,108.8,1.2,,J. Bach (37-45),P. Short (6.0)
1982-83,NBA,Warriors,30,52,.366,5,-3.48,104.0,0.9,103.9,-0.8,107.4,2.7,,A. Attles (30-52),J. Carroll (7.0)
1981-82,NBA,Warriors,45,37,.549,4,0.80,101.4,0.5,108.8,1.9,107.7,0.8,,A. Attles (45-37),B. King (8.7)
1980-81,NBA,Warriors,39,43,.476,4,-1.41,101.0,-0.8,108.5,3.0,109.7,4.2,,A. Attles (39-43),B. King (9.1)
1979-80,NBA,Warriors,24,58,.293,6,-4.20,100.5,-2.6,102.0,-3.3,106.3,1.0,,A. Attles (18-43) J. Bach (6-15),S. Parker (6.8)
1978-79,NBA,Warriors,38,44,.463,6,0.46,102.2,-3.6,102.4,-1.4,102.0,-1.8,,A. Attles (38-44),J. Lucas (7.9)
1977-78,NBA,Warriors,43,39,.524,5,0.41,106.0,-0.7,99.6,-1.3,99.3,-1.6,,A. Attles (43-39),R. Barry (9.7)
1976-77,NBA,Warriors,46,36,.561,3,3.10,107.8,1.3,102.4,2.9,99.5,0.0,Lost W. Conf. Semis,A. Attles (46-36),R. Barry (8.4)
1975-76,NBA,Warriors,59,23,.720,1,6.23,108.3,2.8,100.6,2.3,94.5,-3.8,Lost W. Conf. Finals,A. Attles (59-23),R. Barry (9.6)
1974-75,NBA,Warriors,48,34,.585,1,2.86,107.6,3.1,100.4,2.7,97.3,-0.4,Won Finals,A. Attles (48-34),R. Barry (12.7)
